title,url,rating,rating_count,description,genre,content_rating,duration
Joker,https://www.imdb.com/title/tt7286456/,8.4,1548226,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.","Crime, Drama, Thriller",R,PT2H2M
Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,8.4,55626,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,"Crime, Drama, Mystery",Not Rated,PT2H23M
3 Idiots,https://www.imdb.com/title/tt1187043/,8.4,444509,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.","Comedy, Drama",PG-13,PT2H50M
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,8.3,384251,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime, Drama",R,PT3H49M
Singin&apos; in the Rain,https://www.imdb.com/title/tt0045152/,8.3,265496,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy, Musical, Romance",G,PT1H43M
Capharnaüm,https://www.imdb.com/title/tt8267604/,8.4,109707,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,R,PT2H6M
Idi i smotri,https://www.imdb.com/title/tt0091251/,8.4,102389,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama, Thriller, War",Not Rated,PT2H22M
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3,915993,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,NC-17,PT1H42M
Toy Story 3,https://www.imdb.com/title/tt0435761/,8.3,908263,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.","Animation, Adventure, Comedy",G,PT1H43M
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3,1140011,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.","Action, Adventure, Fantasy",PG,PT2H11M
